MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	202408	9141	7778	6857	1980	50	254	6048	1680	50	0	220	91	3
P02	202408	12221	11258	8454	3716	2	49	7850	3406	2	0	131	113	1
P03	202408	15098	14399	11733	3365	0	0	11189	3210	0	0	190	103	11
P04	202408	22867	21831	13722	8936	199	10	13182	8480	169	0	259	170	15
P05	202408	20302	19407	10269	9843	169	21	9942	9346	119	0	243	105	37
P06	202408	28811	27287	19489	9274	5	43	18616	8666	5	0	297	199	18
P07	202408	9698	9204	6943	2139	606	10	6616	2041	547	0	105	64	23
P08	202408	15838	15024	10290	5413	51	84	9905	5087	32	0	203	85	17
P09	202408	10903	10475	0	10903	0	0	0	10475	0	0	105	53	57
P10	202408	25570	24735	18130	7284	94	62	17679	6986	70	0	162	91	21
P13	202408	60	55	0	0	60	0	0	0	55	0	5	2	0
P16	202408	20	18	0	0	20	0	0	0	18	0	2	1	0
P18	202408	3913	3748	0	3913	0	0	0	3748	0	0	47	6	18
P22	202408	131	120	0	0	131	0	0	0	120	0	5	3	0
