MC	Season	CELKEM_PS	PS_ZPS	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	POCINVST	PA_cnt	IB_cnt
P01	201805	8694	8065	6584	2071	0	39	6108	1931	0	26	198	90	0
P02	201805	12082	11473	7641	4441	0	0	7298	4175	0	0	119	125	0
P03	201805	14839	14221	10313	4526	0	0	9891	4330	0	0	178	122	0
P05	201805	9374	8822	4131	5000	243	0	3948	4658	216	0	137	110	0
P06	201805	18261	17367	10940	7313	8	0	10529	6830	8	0	222	163	0
P07	201805	9606	9156	6882	2130	562	32	6522	2099	535	0	89	90	0
P08	201805	13250	12745	8131	5008	111	0	7897	4754	94	0	160	93	0
P13	201805	61	56	0	0	61	0	0	0	56	0	5	2	0
P16	201805	20	18	0	0	20	0	0	0	18	0	2	1	0
P22	201805	126	120	0	0	126	0	0	0	120	0	4	3	0
